Date,Open,High,Low,Close,Volume,Adj Close,monthly return,m return %,avg return
1/1/2014,57.59,57.59,53.049999,53.52,9817700,44.753708,#VALUE!,#VALUE!,0.004552966
2/1/2014,53.439999,55.709999,52.27,55.439999,6311900,46.359219,0.035874368,3.587436822,
3/1/2014,54.869999,57.439999,54.349998,57.200001,6244000,47.83094,0.031746027,3.174602661,
4/1/2014,57.580002,58.880001,56.93,58.240002,8557500,48.700603,0.018182018,1.818201775,
5/1/2014,58.189999,60.330002,58.09,59.599998,3168800,49.837841,0.023351621,2.335162051,
6/1/2014,59.740002,60.869999,59.369999,60.07,3807800,50.23085,0.007885755,0.788575492,
7/1/2014,60.549999,62,60.310001,60.650002,3777100,51.320721,0.021697244,2.169724383,
8/1/2014,60.720001,63.209999,60.599998,62.610001,3761000,52.97924,0.032316752,3.231675175,
9/1/2014,62.709999,63.68,59.32,59.799999,4534000,50.601475,-0.04488107,-4.48810704,
10/1/2014,59.66,60.790001,57.689999,60.560001,9789900,51.244572,0.012709056,1.270905641,
11/1/2014,60.52,60.619999,58.860001,59.27,5313600,50.152992,-0.021301378,-2.130137803,
12/1/2014,58.73,58.900002,54.130001,56.630001,12096100,47.919083,-0.044541889,-4.454188895,
1/1/2015,56.619999,58.790001,54.959999,57.299999,8098300,49.220898,0.027166943,2.716694307,
2/1/2015,57.849998,59.130001,57.48,58.75,7013600,50.46645,0.025305349,2.530534896,
3/1/2015,58.700001,59.099998,56.299999,59.009998,8071700,50.689793,0.004425574,0.442557382,
4/1/2015,59.59,63.709999,59.369999,62.23,8193300,53.455776,0.054566863,5.456686319,
5/1/2015,62.459999,62.810001,60.029999,60.07,9161800,51.600338,-0.034709776,-3.47097758,
6/1/2015,60.119999,60.119999,56.970001,57.68,9040500,49.547314,-0.039787026,-3.97870262,
7/1/2015,57.950001,58.209999,54.459999,55.490002,10026300,48.154507,-0.028110646,-2.811064592,
8/1/2015,55.119999,55.619999,45.27,50.880001,15028500,44.153923,-0.08307808,-8.307808031,
9/1/2015,50.380001,52.439999,48.119999,49.82,12807500,43.234043,-0.020833483,-2.08334829,
10/1/2015,50.110001,54.16,49.529999,52.34,12932600,45.420918,0.050582246,5.058224603,
11/1/2015,52.599998,53.619999,50.02,50.299999,11033600,43.650593,-0.038975985,-3.897598459,
12/1/2015,50.459999,50.73,47.23,48.66,20401200,42.227394,-0.032604345,-3.260434515,
1/1/2016,47.529999,47.790001,43.439999,47,18045900,41.329823,-0.021255657,-2.125565693,
2/1/2016,46.689999,48.009998,45.32,47.029999,13067000,41.356209,0.000638425,0.063842519,
3/1/2016,47.73,51.689999,47.689999,51.369999,18674800,45.172623,0.092281524,9.228152416,
4/1/2016,50.689999,52.66,49.630001,51.459999,15432400,45.251766,0.001752012,0.17520125,
5/1/2016,51.43,51.610001,48.810001,50.169998,15636600,44.11739,-0.025068105,-2.506810452,
6/1/2016,50.029999,52.380001,48.630001,51.59,18339800,45.366085,0.028303918,2.830391825,
7/1/2016,51.830002,53.139999,50.360001,53.09,15732500,47.275368,0.042086131,4.208613108,
8/1/2016,53.220001,54.84,52.560001,53.27,19535700,47.435654,0.003390476,0.339047599,
9/1/2016,53.310001,54.860001,52.110001,54.060001,18932400,48.139126,0.014830026,1.483002638,
10/1/2016,54.060001,54.32,52.380001,52.830002,14048400,47.043846,-0.022752386,-2.275238649,
11/1/2016,53.080002,53.490002,49.09,50.220001,21038700,44.7197,-0.049403826,-4.940382638,
12/1/2016,50.029999,51.02,47.799999,48.91,20646900,43.553177,-0.026085215,-2.608521524,
1/1/2017,49.110001,51.209999,48.939999,50.73,14274600,45.847809,0.052685755,5.26857547,
2/1/2017,50.810001,52.52,50.549999,51.709999,13332200,46.73349,0.019317848,1.931784788,
3/1/2017,51.959999,54.200001,51.259998,53.5,14045400,48.351223,0.034616139,3.46161393,
4/1/2017,53.720001,54.57,53.040001,54.27,7647400,49.047123,0.014392604,1.439260389,
5/1/2017,54.400002,55.759998,54.060001,55.299999,8281100,49.977993,0.018979095,1.897909486,
6/1/2017,55.5,56.240002,54.869999,55.400002,9573000,50.068371,0.001808356,0.180835593,
7/1/2017,55.630001,57.68,54.849998,57.099998,6321800,52.002705,0.038633851,3.86338513,
8/1/2017,57.330002,58.25,56.369999,58.139999,6453100,52.949863,0.018213629,1.821362946,
9/1/2017,58.349998,59.060001,57.549999,58.099998,9549700,52.913433,-0.000688009,-0.068800933,
10/1/2017,58.02,59.880001,58,59.189999,8190400,53.906136,0.018760888,1.876088819,
11/1/2017,59.540001,60.52,58.720001,59.200001,7779600,53.915234,0.000168775,0.016877485,
12/1/2017,59.139999,61.080002,58.599998,60.759998,6774700,55.335979,0.026351458,2.635145755,
1/1/2018,61.419998,65.550003,61.259998,64.470001,8750200,59.694778,0.07876971,7.876970967,
2/1/2018,64.010002,64.290001,58.919998,61.209999,14083000,56.676239,-0.050566215,-5.056621536,
3/1/2018,61.689999,63.189999,60.5,62.34,7403600,57.722542,0.018461052,1.846105208,
4/1/2018,62.200001,63.110001,60.68,61.139999,11676200,56.611427,-0.019249239,-1.924923888,
5/1/2018,60.84,61.779999,59.919998,60.889999,6928100,56.379948,-0.004088909,-0.408890947,
6/1/2018,61.23,62.02,56.740002,57.84,4966600,53.555855,-0.05009038,-5.009037965,
7/1/2018,57.27,59.959999,57.040001,59.880001,6232400,55.923027,0.04420006,4.420005992,
8/1/2018,59.639999,59.990002,56.75,59.169998,10691400,55.259941,-0.011857119,-1.185711925,
9/1/2018,58.549999,59.470001,57.029999,59.299999,13139200,55.381355,0.002197143,0.219714313,
10/1/2018,59.490002,59.490002,53.099998,54.98,17976900,51.346825,-0.072849969,-7.284996909,
11/1/2018,55.34,57.77,54.919998,57.360001,12039600,53.569553,0.043288519,4.328851881,
12/1/2018,58.130001,58.299999,54.790001,55.869999,23011200,52.178013,-0.025976323,-2.597632278,
1/1/2019,55.360001,59.43,54.98,59.380001,16364900,56.318195,0.079347253,7.934725303,
2/1/2019,59.330002,59.919998,58.110001,58.75,16516500,55.720676,-0.010609697,-1.060969727,
3/1/2019,59.110001,60.25,57.709999,59.27,19027600,56.213863,0.008851059,0.885105917,
4/1/2019,59.560001,60.27,59.18,59.919998,17995800,56.830345,0.010966725,1.096672541,
5/1/2019,60.060001,60.290001,55.759998,57.099998,19129200,54.155758,-0.047062656,-4.70626564,
6/1/2019,57.490002,59.209999,56.970001,58.860001,9223200,55.825005,0.030823075,3.082307518,
7/1/2019,59.439999,59.439999,57.32,57.810001,20315600,55.429005,-0.007093595,-0.709359542,
8/1/2019,57.84,58.130001,55.09,56.790001,15470300,54.451012,-0.017644066,-1.764406559,
9/1/2019,56.27,58.349998,56.099998,57.09,9077100,54.738659,0.005282675,0.5282675,
10/1/2019,56.919998,58.779999,56.220001,58.360001,8181900,55.956348,0.022245503,2.224550295,
11/1/2019,58.799999,59.700001,57.009998,57.040001,8197200,54.690716,-0.022618202,-2.261820232,
12/1/2019,57.02,58.880001,56.599998,58.66,7973700,56.243996,0.028401164,2.84011641,
1/1/2020,58.860001,59.580002,55.279999,55.450001,12298000,54.012665,-0.039672341,-3.96723412,
2/1/2020,55.439999,57.34,51.950001,53.360001,15409900,51.976841,-0.037691604,-3.769160437,
3/1/2020,53.060001,54.869999,42.099998,46.919998,34140800,45.703766,-0.120689809,-12.06898088,
4/1/2020,45.59,51.259998,45.119999,50.580002,18491900,49.268898,0.078005213,7.800521296,
5/1/2020,49.330002,51.27,49.16,51.130001,15705200,49.804642,0.010873878,1.087387828,
6/1/2020,51.41,54.130001,51.060001,52,10640000,50.652092,0.017015482,1.701548221,
7/1/2020,52.32,55.470001,52.32,54.52,7073000,53.669563,0.059572485,5.957248518,
8/1/2020,54.540001,56.68,54.540001,55.68,7152300,54.81147,0.021276622,2.127662191,
9/1/2020,56.02,56.529999,53.509998,55.18,7156400,54.319271,-0.008979854,-0.897985403,
10/1/2020,55.43,56.98,54.799999,54.959999,8377200,54.102699,-0.00398702,-0.398701963,
11/1/2020,55.32,60.099998,55.240002,59.099998,8490600,58.17812,0.075327499,7.532749891,
12/1/2020,59.860001,61.59,59.349998,61.080002,7981100,60.127239,0.033502612,3.350261232,
1/1/2021,61.869999,64.019997,61.279999,61.68,7805600,61.68,0.025824585,2.582458509,
